node_id,name,in_degree,out_degree,betweenness_centrality,clustering_coefficient,source_center,src_delay_minutes,src_sla_breaches,src_trips,destination_center,dest_delay_minutes,dest_sla_breaches,dest_trips,total_delay_minutes,total_sla_breaches,total_trips_handled,betweenness_rank,delay_rank,composite_rank
IND673027AAB,Kozhikode_Feroke_H (Kerala),1,2,1.5852055932394153e-06,0.3333333333333333,IND673027AAB,887.0,3.0,3.0,IND673027AAB,38.0,1.0,1.0,925.0,4.0,4.0,907.5,545.5,726.5
IND673104AAA,Vadakara_Mandodi_D (Kerala),2,1,2.377808389859123e-06,0.3333333333333333,IND673104AAA,163.0,11.0,12.0,IND673104AAA,355.0,7.0,11.0,518.0,18.0,23.0,890.5,853.5,872.0
IND673305AAA,Koyilandy_Pshrikvu_D (Kerala),1,1,0.0,1.0,IND673305AAA,61.0,6.0,10.0,IND673305AAA,593.0,2.0,2.0,654.0,8.0,12.0,1290.0,714.5,1002.25
IND673506AAA,Kallachi_ZamQuatr_D (Kerala),1,1,1.5852055932394153e-06,0.0,IND673506AAA,122.0,11.0,12.0,IND673506AAA,163.0,11.0,12.0,285.0,22.0,24.0,907.5,1135.5,1021.5
IND602001AAB,Kumbakonam_Mettu_DC (Tamil Nadu),0,1,0.0,0.0,IND602001AAB,399.0,11.0,11.0,0,0.0,0.0,0.0,399.0,11.0,11.0,1290.0,989.5,1139.75
IND609001AAA,Mylduthuri_Thiruviz_D (Tamil Nadu),1,1,7.926027966197076e-07,0.0,IND609001AAA,895.0,12.0,12.0,IND609001AAA,399.0,11.0,11.0,1294.0,23.0,23.0,937.5,381.0,659.25
IND614018AAA,Mannargudi_Vadasari_D (Tamil Nadu),1,1,7.926027966197076e-07,0.0,IND614018AAA,602.0,10.0,10.0,IND614018AAA,895.0,12.0,12.0,1497.0,22.0,22.0,937.5,329.0,633.25
IND623526AAA,Rameswram_Kdthdstrt_D (Tamil Nadu),1,1,1.664465872901386e-05,0.0,IND623526AAA,84.0,0.0,8.0,IND623526AAA,-43.0,0.0,7.0,41.0,0.0,15.0,793.5,1516.0,1154.75
IND623704AAA,Muthukulathur_VaiklSRT_D (Tamil Nadu),1,1,1.664465872901386e-05,0.0,IND623704AAA,88.0,5.0,7.0,IND623704AAA,84.0,0.0,8.0,172.0,5.0,15.0,793.5,1278.0,1035.75
IND626607AAB,Narikkudi_MukkuRD_D (Tamil Nadu),1,1,1.5852055932394153e-05,0.0,IND626607AAB,183.0,7.0,7.0,IND626607AAB,88.0,5.0,7.0,271.0,12.0,14.0,797.5,1155.0,976.25
IND412210AAC,Shirur_Central_DPP_3 (Maharashtra),1,1,0.0,1.0,IND412210AAC,186.0,2.0,2.0,IND412210AAC,14.0,1.0,1.0,200.0,3.0,3.0,1290.0,1247.5,1268.75
IND643001AAA,Ooty_Davisdle_D (Tamil Nadu),1,1,1.743726152563357e-05,0.0,IND643001AAA,217.0,4.0,4.0,IND643001AAA,-24.0,0.0,7.0,193.0,4.0,11.0,788.5,1260.0,1024.25
IND509001AAA,Mahabubnagar_DC (Telangana),1,1,0.0008183623875098481,0.0,IND509001AAA,264.0,14.0,14.0,IND509001AAA,503.0,13.0,13.0,767.0,27.0,27.0,419.5,633.5,526.5
IND509203AAA,Bijnapally_nagar_D (Telangana),1,1,0.00081321046933182,0.0,IND509203AAA,186.0,13.0,14.0,IND509203AAA,264.0,14.0,14.0,450.0,27.0,28.0,465.0,925.0,695.0
IND509301AAA,Jadcherla_Badeplly_D (Telangana),1,1,0.0008080585511537919,0.0,IND509301AAA,559.0,13.0,13.0,IND509301AAA,186.0,13.0,14.0,745.0,26.0,27.0,516.0,650.0,583.0
IND614602AAA,Pattukotai_anthniyr_D (Tamil Nadu),0,1,0.0,0.0,IND614602AAA,133.0,11.0,11.0,0,0.0,0.0,0.0,133.0,11.0,11.0,1290.0,1345.0,1317.5
IND614616AAA,Aranthangi_HsptlRod_D (Tamil Nadu),1,1,2.377808389859123e-06,0.0,IND614616AAA,236.0,11.0,11.0,IND614616AAA,71.0,5.0,11.0,307.0,16.0,22.0,890.5,1107.0,998.75
IND614804AAA,Peravurani_SH71_D (Tamil Nadu),1,1,1.5852055932394153e-06,0.0,IND614804AAA,71.0,5.0,11.0,IND614804AAA,133.0,11.0,11.0,204.0,16.0,22.0,907.5,1243.0,1075.25
IND622407AAA,Ponnamaravathi_Puduvalvu_D (Tamil Nadu),1,1,1.5852055932394153e-06,0.0,IND622407AAA,148.0,9.0,9.0,IND622407AAA,197.0,9.0,9.0,345.0,18.0,18.0,907.5,1050.0,978.75
IND630002AAA,Karaikudi_Sbrmnprm_D (Tamil Nadu),1,1,2.377808389859123e-06,0.0,IND630002AAA,197.0,9.0,9.0,IND630002AAA,236.0,11.0,11.0,433.0,20.0,20.0,890.5,946.5,918.5
IND788713AAA,Karimganj_Alngjuri_D (Assam),2,2,0.0002019155624388705,1.0,IND788713AAA,608.0,11.0,11.0,IND788713AAA,757.0,13.0,13.0,1365.0,24.0,24.0,763.5,356.5,560.0
IND518102AAA,Srisailam_Sishumdr_D (Andhra Pradesh),1,1,0.0008080585511537919,0.0,IND518102AAA,820.0,10.0,10.0,IND518102AAA,802.0,10.0,10.0,1622.0,20.0,20.0,516.0,295.0,405.5
IND608301AAA,Lalpet_PriyrNGR_D (Tamil Nadu),1,1,3.963013983098538e-06,0.0,IND608301AAA,1135.0,11.0,11.0,IND608301AAA,216.0,9.0,9.0,1351.0,20.0,20.0,865.0,363.0,614.0
