source_center,source_name,destination_center,destination_name,median_delay_ratio,total_delay_minutes,sla_breach_count,total_trips
IND723131AAA,Manbazar_Central_DPP_1 (West Bengal),IND722140AAA,Khatra_KoralDPP_D (West Bengal),1.2921401515151514,64,6,6
IND723133AAA,Rghunthpur_barkarRd_D (West Bengal),IND723130AAA,Hura_Central_D_1 (West Bengal),1.3043478260869565,273,7,12
IND723202AAA,Jhalda_GMukrDPP_D (West Bengal),IND713205AAB,Durgapur_Central_I_1 (West Bengal),2.212328767123288,2320,13,13
IND731204AAB,Bolpur_WebelDPP_D (West Bengal),IND731301AAA,Nanoor_Central_DPP_1 (West Bengal),2.3181818181818183,309,11,11
IND731224AAA,Rampurhat_SrifoDPP_D (West Bengal),IND742147AAA,Khargram_BoiDPP_D (West Bengal),2.0969827586206895,291,8,8
IND731237AAB,Morgram_Kntgorya_D (West Bengal),IND731224AAA,Rampurhat_SrifoDPP_D (West Bengal),3.090909090909091,426,9,9
IND731301AAA,Nanoor_Central_DPP_1 (West Bengal),IND713205AAB,Durgapur_Central_I_1 (West Bengal),1.8450704225352113,897,12,12
IND732103AAA,Malda_krshnPly_DC (West Bengal),IND732138AAA,Bamangola_Central_D_1 (West Bengal),2.776315789473684,137,2,2
IND732103AAB,Malda_Central_I_3 (West Bengal),IND732202AAA,Manikchak_Enayetpr_D (West Bengal),3.8947368421052633,191,3,3
IND732103AAB,Malda_Central_I_3 (West Bengal),IND733128AAA,Itahar_NatunDPP_D (West Bengal),1.9338575393154487,89,2,2
IND732138AAA,Bamangola_Central_D_1 (West Bengal),IND733102AAA,Balurghat_AkhirDPP_D (West Bengal),2.0276537698412698,133,2,2
IND732138AAA,Bamangola_Central_D_1 (West Bengal),IND733124AAA,Gangarmpur_KhdimDPP_D (West Bengal),1.972972972972973,104,3,3
IND732138AAA,Bamangola_Central_D_1 (West Bengal),IND733140AAA,Gangarampr_FulbaDPP_D (West Bengal),2.6,73,1,1
IND732202AAA,Manikchak_Enayetpr_D (West Bengal),IND732204AAB,Paranpur_Nijgan_D (West Bengal),2.826388888888889,149,6,6
IND732204AAB,Paranpur_Nijgan_D (West Bengal),IND732139AAA,Samsi_RatuaDPP_D (West Bengal),0.6556497175141243,-79,0,4
IND733128AAA,Itahar_NatunDPP_D (West Bengal),IND733129AAB,Kaliyaganj_Central_DPP_1 (West Bengal),2.4782608695652173,69,1,1
IND733128AAA,Itahar_NatunDPP_D (West Bengal),IND733134AAA,Raiganj_SubrtDPP_D (West Bengal),1.8181818181818183,39,2,2
IND733129AAA,Kaliyaganj_FatprDPP_D (West Bengal),IND732103AAB,Malda_Central_I_3 (West Bengal),3.704545454545455,376,3,3
IND733129AAB,Kaliyaganj_Central_DPP_1 (West Bengal),IND733129AAA,Kaliyaganj_FatprDPP_D (West Bengal),1.8083735909822867,42,2,2
IND733134AAA,Raiganj_SubrtDPP_D (West Bengal),IND733129AAB,Kaliyaganj_Central_DPP_1 (West Bengal),1.4545454545454546,11,1,1
IND733140AAA,Gangarampr_FulbaDPP_D (West Bengal),IND732103AAA,Malda_krshnPly_DC (West Bengal),2.8035714285714284,102,1,1
IND733140AAA,Gangarampr_FulbaDPP_D (West Bengal),IND733102AAA,Balurghat_AkhirDPP_D (West Bengal),1.9446153846153846,154,6,6
IND733201AAA,Dalkhola_DltprDPP_D (West Bengal),IND733202AAB,Islampure_ShbdnDPP_D (West Bengal),1.9534883720930232,42,1,1
IND733202AAB,Islampure_ShbdnDPP_D (West Bengal),IND733210AAA,Lodhan_GoalpDPP_D (West Bengal),1.28125,10,1,1
IND734214AAB,Mirik_WardNo3_D (West Bengal),IND000000AFF,Darjeeling_Hillcard_DC (West Bengal),3.1,235,3,3
IND735224AAA,Mainaguri_MilpaDPP_D (West Bengal),IND736146AAA,Mathabhang_Pshimpra_D (West Bengal),1.4434693877551021,210,8,8
IND736135AAA,Dinhata_WrdN4DPP_D (West Bengal),IND736101AAA,CoochBehar_Psthrjhr_D (West Bengal),1.9981060606060606,149,6,6
IND736135AAA,Dinhata_WrdN4DPP_D (West Bengal),IND736165AAA,Pundibari_StatonRD_D (West Bengal),2.4871794871794872,285,5,5
IND736146AAA,Mathabhang_Pshimpra_D (West Bengal),IND736135AAA,Dinhata_WrdN4DPP_D (West Bengal),1.603448275862069,321,8,8
IND741123AAB,Chapra_NagarDPP_D (West Bengal),IND741126AAB,Nakashipara_MaxDPP_D (West Bengal),2.242424242424242,430,11,11
IND741126AAB,Nakashipara_MaxDPP_D (West Bengal),IND741156AAA,Plassey_BtaiRoad_D (West Bengal),2.4444444444444446,364,13,13
IND741156AAA,Plassey_BtaiRoad_D (West Bengal),IND742101AAC,Baharampur_Chuanpur_I (West Bengal),2.606060606060606,535,8,8
